,Date,Open,High,Low,Close,Adj Close,Volume,Hour
3434,2019-04-29 03:00:00,130.29,130.29,130.1,130.17,130.17,0,03:00:00
3435,2019-04-29 04:00:00,130.19,130.19,129.9,129.96,129.96,0,04:00:00
3436,2019-04-29 05:00:00,130.03,130.19,129.95,130.14,130.14,0,05:00:00
3437,2019-04-29 06:00:00,130.12,130.17,129.88,129.95,129.95,0,06:00:00
3438,2019-04-29 07:00:00,129.9,130.18,129.35,129.68,129.68,3821067,07:00:00
3439,2019-04-29 08:00:00,129.69,129.93,129.52,129.65,129.65,2230171,08:00:00
3440,2019-04-29 09:00:00,129.66,129.76,129.49,129.73,129.73,1460298,09:00:00
3441,2019-04-29 10:00:00,129.74,129.94,129.71,129.92,129.92,1199915,10:00:00
3442,2019-04-29 11:00:00,129.92,130.14,129.77,130.03,130.03,1587074,11:00:00
3443,2019-04-29 12:00:00,130.04,130.05,129.89,129.99,129.99,1384501,12:00:00
3444,2019-04-29 13:00:00,129.98,130.11,129.71,129.74,129.74,2145885,13:00:00
3445,2019-04-29 14:00:00,129.77,129.81,129.59,129.69,129.69,0,14:00:00
3446,2019-04-29 15:00:00,129.73,129.77,129.65,129.73,129.73,0,15:00:00
3447,2019-04-29 16:00:00,129.7,129.76,129.66,129.71,129.71,0,16:00:00
3448,2019-04-29 17:00:00,129.71,129.95,129.68,129.75,129.75,0,17:00:00
3449,2019-04-30 01:00:00,129.68,129.68,129.59,129.59,129.59,0,01:00:00
3450,2019-04-30 02:00:00,129.6,129.8,129.6,129.8,129.8,0,02:00:00
3451,2019-04-30 03:00:00,129.71,129.79,129.71,129.79,129.79,0,03:00:00
3452,2019-04-30 04:00:00,129.73,130.09,129.7,130.05,130.05,0,04:00:00
3453,2019-04-30 05:00:00,130.06,130.15,129.83,129.98,129.98,0,05:00:00
3454,2019-04-30 06:00:00,130.0,130.0,129.63,129.86,129.86,0,06:00:00
3455,2019-04-30 07:00:00,129.81,130.68,129.41,130.0,130.0,4937564,07:00:00
3456,2019-04-30 08:00:00,130.0,130.16,129.39,129.58,129.58,3440254,08:00:00
3457,2019-04-30 09:00:00,129.59,130.27,129.58,130.18,130.18,2063536,09:00:00
3458,2019-04-30 10:00:00,130.19,130.49,130.13,130.13,130.13,1841825,10:00:00
3459,2019-04-30 11:00:00,130.13,130.63,130.08,130.26,130.26,2315620,11:00:00
3460,2019-04-30 12:00:00,130.26,130.32,130.04,130.18,130.18,2044157,12:00:00
3461,2019-04-30 13:00:00,130.18,130.69,130.15,130.58,130.58,3193458,13:00:00
3462,2019-04-30 14:00:00,130.59,130.62,130.59,130.6,130.6,3113304,14:00:00
3463,2019-05-01 01:00:00,130.53,130.65,129.49,129.85,129.85,0,01:00:00
3464,2019-05-01 02:00:00,129.85,129.89,129.58,129.79,129.79,1914103,02:00:00
3465,2019-05-01 03:00:00,129.8,129.97,129.53,129.64,129.64,1923727,03:00:00
3466,2019-05-01 04:00:00,129.63,129.75,129.34,129.4,129.4,2095544,04:00:00
3467,2019-05-01 05:00:00,129.41,129.82,129.25,129.38,129.38,4324121,05:00:00
3468,2019-05-01 06:00:00,129.39,129.52,128.53,128.68,128.68,4417878,06:00:00
3469,2019-05-01 07:00:00,128.68,128.76,127.7,127.87,127.87,4428015,07:00:00
3470,2019-05-01 08:00:00,127.88,127.88,127.88,127.88,127.88,2022686,08:00:00
3471,2019-05-02 01:00:00,127.98,128.0,127.01,127.47,127.47,0,01:00:00
3472,2019-05-02 02:00:00,127.48,127.74,126.59,126.68,126.68,3032164,02:00:00
3473,2019-05-02 03:00:00,126.69,127.04,125.56,126.27,126.27,4555366,03:00:00
3474,2019-05-02 04:00:00,126.28,126.46,125.52,126.28,126.28,3110250,04:00:00
3475,2019-05-02 05:00:00,126.28,126.69,125.97,126.43,126.43,3016066,05:00:00
